met2013,occ_group,occ_group_code,current_emp,supply_baseline,supply_low_immigration,supply_no_immigration,supply_high_domestic,growth_baseline,growth_low_immigration,growth_no_immigration,growth_high_domestic
33860,Architecture and Engineering,1300,2535.3999999999996,3062.1563063337253,3022.5308624397144,2982.443323175511,3041.6408432247727,0.20776063198458866,0.19213175926469778,0.176320629161281,0.19966902391132485
33860,"Arts, Design, Entertainment, Sports, Media",2600,1721.8,2135.0218617625546,2104.894248656535,2074.3814714028463,2137.4130307306373,0.23999411183793395,0.22249636929755795,0.20477492821631216,0.24138287299955707
33860,Building and Grounds Cleaning and Maintenance,4200,5257.4,4774.110447646258,4680.702967553572,4585.693873774163,4699.575607448657,-0.09192558153340843,-0.10969243969384623,-0.12776393773078643,-0.10610271095053493
33860,Business and Financial Operations,500,7532.200000000001,8591.00420137591,8493.555614595447,8395.120848715505,8340.568481502485,0.14057037802712485,0.12763277855015087,0.11456425064596049,0.10732169638385669
33860,Community and Social Service,2000,2737.0000000000005,3241.734599685828,3204.8672975522877,3167.6241219646704,3116.234199709792,0.1844116184456805,0.17094165054888089,0.15733435219754105,0.13855834845078235
33860,Computer and Mathematical,1000,4568.0,5153.302259929288,5078.647321986159,5003.023390658355,5227.394444890079,0.12813096758522075,0.11178794264145347,0.09523279129999007,0.14435079791814348
33860,Construction and Extraction,6200,6011.6,7076.022774749742,6975.868830284764,6874.438655000113,7228.02322389975,0.17706147693621355,0.16040136241346115,0.14352895319051706,0.20234600171331257
33860,"Education, Training, and Library",2200,10910.6,10880.092174216707,10749.884200231418,10618.30962444389,10926.632628202511,-0.002796163894129927,-0.014730243961705441,-0.02678957853427963,0.0014694543107172664
33860,Food Preparation and Serving,4000,6542.0,7097.001989314556,6988.388405058778,6878.291034756563,7028.7841821161865,0.08483674553875817,0.06823424106676507,0.05140492735502347,0.07440907705842056
33860,Healthcare Practitioners and Technical,3000,10832.2,9795.344283184508,9678.10590180892,9559.654861908968,9694.46720807525,-0.09571977223606414,-0.10654290893734243,-0.11747799506019382,-0.10503247649828754
33860,Healthcare Support,3600,3218.6000000000004,3130.170638331798,3091.616321642379,3052.6468028968093,3095.8980765634233,-0.02747448010569903,-0.03945307846816053,-0.051560677655872425,-0.03812276251680144
33860,"Installation, Maintenance, and Repair",7000,5909.0,5380.0516292156235,5320.716951107881,5260.817071371042,5582.993333152666,-0.08951571683607663,-0.09955712453750533,-0.10969418321695003,-0.05517120779274563
33860,Legal,2100,1955.6,2266.787074135342,2244.630473417782,2222.2808031889726,2218.7257803081743,0.15912613731608827,0.1477963148996635,0.13636776599967915,0.13454989788718258
33860,"Life, Physical, and Social Science",1600,1129.1999999999998,1270.8987606219741,1243.2275133729345,1215.0094306284795,1203.9501990896795,0.12548597292062896,0.1009807946979584,0.07599134841346067,0.06619748413892998
33860,Management,10,16501.0,16407.590308372528,16192.66964327144,15975.276127889065,16239.217710941042,-0.005660850350128532,-0.01868555582865042,-0.03186012193872703,-0.015864631783465116
33860,Office and Administrative Support,5000,21979.2,19309.911629305214,19086.5299215384,18860.926712363485,19247.09721175984,-0.12144611135504423,-0.13160943430432404,-0.14187383015016541,-0.12430401416976772
33860,Personal Care and Service,4300,3918.2,3963.757441374475,3904.5428302007103,3844.5467157695084,4032.3893276478575,0.011627135259679372,-0.003485572405515225,-0.018797734732910937,0.029143312655774967
33860,Production,7700,13542.0,11782.822749793499,11650.719786813119,11517.34635496266,11747.154564873204,-0.12990527619306613,-0.13966033179640233,-0.14950920433003542,-0.13253916962980333
33860,Protective Service,3700,4981.0,4517.327759759307,4465.093095721157,4412.336581470667,4446.413696362005,-0.09308818314408603,-0.10357496572552573,-0.11416651646844664,-0.10732509609275154
33860,Sales and Related,4700,12751.2,12896.688262433077,12740.186471013496,12582.01525044385,12703.422045633028,0.01140977025166856,-0.0008637249032643346,-0.013268143355617518,-0.00374693788560862
33860,Transportation and Material Moving,9000,12604.6,11472.511048161901,11313.77498732434,11153.132737459186,11062.322369944022,-0.08981553971074843,-0.10240904214934712,-0.11515377422058733,-0.12235831601605593
34580,Architecture and Engineering,1300,511.0,1200.6466634705155,1188.8427078596726,1176.9282298727537,1200.6466634705155,1.3496020811556078,1.3265023637175586,1.3031863598292637,1.3496020811556078
34580,Building and Grounds Cleaning and Maintenance,4200,640.8000000000001,993.3175853267975,971.619357859487,949.4747158974122,993.3175853267975,0.5501210757284604,0.5162599217532566,0.4817021159447755,0.5501210757284604
34580,Business and Financial Operations,500,642.5999999999998,1271.4709933853762,1254.6003740877027,1237.5178082216366,1271.4709933853762,0.9786352215769945,0.952381534528016,0.9257980208864565,0.9786352215769945
