czone,lat,lon
28504,38.842883,-102.65388766666666
28601,39.78487,-100.768223
28602,39.783867,-99.899235
28603,39.784583,-99.0637895
28604,39.13469225,-100.792344
28605,39.138988999999995,-101.745481
28606,39.985041,-101.704229
28607,40.353485,-101.063737
28608,40.69158275,-98.98937875
28609,40.465813000000004,-99.79418500000001
28701,38.734599,-106.300025
28702,39.4540498,-106.801749
28703,40.113065,-106.110837
28704,41.164473,-106.0255655
28800,40.49240433333333,-104.56088
28900,39.626524599999996,-105.0145221
29001,37.477243666666666,-98.90390366666668
29002,37.181442,-99.251293
29003,37.68856325,-100.012185
29004,38.2211074,-99.0672856
29005,38.33206933333333,-98.16170533333333
29006,38.917313,-99.31789500000001
29007,39.350488999999996,-99.602193
29008,38.4808615,-100.187465
29101,39.69774666666667,-97.83829733333333
29102,40.1751685,-97.8215525
29103,39.3706435,-98.487652
29104,38.992349,-97.84018800000001
29201,39.808487,-95.787643
29202,39.7797115,-96.808427
29203,39.09607333333333,-96.80182433333334
29204,39.03239666666666,-95.68765450000001
29301,37.4864982,-97.600873
29302,38.268534333333335,-97.39565533333332
29303,37.43103475,-96.39225425000001
29401,38.1363885,-95.4076055
29402,38.33044266666666,-96.16160233333333
29403,37.1663035,-95.60338300000001
29501,39.361027500000006,-95.176187
29502,38.875378500000004,-94.42446191666666
29503,39.794708428571425,-94.50159628571429
29504,38.364281000000005,-93.53558425
29505,40.296235333333335,-95.17992433333332
29506,40.34474866666667,-94.27236699999999
29601,38.77376985714285,-92.35183085714286
29602,38.22133766666666,-92.69001266666668
29700,37.40220455555556,-92.97251988888888
29800,36.80040375,-93.5413865
29901,37.24677416666666,-94.67091616666666
29902,37.62925,-94.0976445
30000,35.3509682,-93.5020036
30100,35.13397,-94.76883925
30200,35.697267249999996,-95.17588
30300,36.269951400000004,-94.269905
30401,36.232063,-97.105795
30402,36.35438666666667,-96.013712
30403,35.55515200000001,-96.1468545
30501,36.483409,-99.56220166666667
30502,36.39884957142857,-98.39277385714286
30601,31.855755666666667,-106.15131333333333
30602,33.17822,-105.6005565
30603,33.119468,-107.188161
30604,32.271554,-108.29354133333334
30605,31.445908,-104.526945
30701,32.9097195,-104.3881355
30702,34.6145275,-104.576832
30801,32.96829925,-102.80408925
30802,33.466198166666665,-101.90202133333334
30901,34.37545133333333,-103.20463733333334
30902,34.223334333333334,-102.47904966666665
30903,35.133614,-102.0702342
30904,35.6599274,-100.9292736
30905,35.1779755,-100.262621
