occ_group,occ_group_code,met2013,dominant_statefip,total_emp,emp_projected,emp_proj_lo,emp_proj_hi,emp_growth_pct,log_wage
Architecture and Engineering,1300,29420,4,857.2,1004.2936236203885,754.3481556455716,1337.055940146636,0.17159778770460624,11.390558502384744
Architecture and Engineering,1300,29460,12,4046.4,5200.109940741393,3905.9227806420904,6923.112645701663,0.28512009211679346,11.183964110721655
Architecture and Engineering,1300,29540,42,5086.8,5769.153683410748,4333.344689602189,7680.703153541952,0.13414203102358027,11.347265767339591
Architecture and Engineering,1300,29620,26,5107.0,5556.372539172332,4173.519853580851,7397.419175466323,0.0879914899495461,11.238086222299389
Architecture and Engineering,1300,29700,48,747.0,952.0318366049318,715.0931193507746,1267.4777499358938,0.2744736768472982,10.921043373221186
Architecture and Engineering,1300,29740,35,2851.2,3160.6250350956934,2374.01852390219,4207.865487104023,0.10852449322940994,11.189626682188496
Architecture and Engineering,1300,29820,32,13349.2,16038.268667359996,12046.71433176821,21352.383294098243,0.20144043593323913,11.355874223100113
Architecture and Engineering,1300,29940,20,1237.2,1306.0543701159404,981.0076277475202,1738.8019924121916,0.055653386773310984,11.267871088464885
Architecture and Engineering,1300,30140,42,828.3999999999999,968.8586498283477,727.7321277263512,1289.8799538780054,0.16955414030462074,11.22142622370925
Architecture and Engineering,1300,30340,23,858.5999999999999,1004.1747604327131,754.2588747577036,1336.897692869736,0.169548987226547,11.297147858348728
Architecture and Engineering,1300,30620,39,967.2,992.4239793361602,745.4325914486201,1321.2534118577041,0.026079383101902543,11.331743208675665
Architecture and Engineering,1300,30700,31,2748.2,3103.674027243096,2331.2413054420217,4132.044351177508,0.12934794674444958,11.205739970874248
Architecture and Engineering,1300,30780,5,5059.6,5754.927826736062,4322.65931981328,7661.763706229726,0.13742743037711716,11.278919340955447
Architecture and Engineering,1300,31080,6,134919.8,146229.45514407213,109836.32395408166,194681.07436544975,0.08382502156149163,11.588924545349842
Architecture and Engineering,1300,31140,21,12868.4,14323.930958300869,10759.035650387648,19070.01749648237,0.11310893027111912,11.313415435622952
Architecture and Engineering,1300,31180,48,2234.0,2629.5764449184303,1975.1356522632277,3500.8594329946945,0.17707092431442717,11.288780060617464
Architecture and Engineering,1300,31340,51,2000.8,2226.3061850437393,1672.2300381993375,2963.9697388172253,0.11270800931814244,11.240359949428532
Architecture and Engineering,1300,31700,33,4568.8,3336.5198172491837,2506.137160707673,4442.04118810202,-0.26971637689345485,11.476861199084796
Architecture and Engineering,1300,31900,39,855.6000000000001,1007.604171619352,756.8347847732083,1341.463404022786,0.17765798459484783,11.278618334842148
Architecture and Engineering,1300,32580,48,2696.2,3342.4595943129625,2510.598664562348,4449.949048930253,0.2396927506538694,11.286834295246363
Architecture and Engineering,1300,32780,41,1177.8,1378.0773338462145,1035.1057406661348,1834.6890210835284,0.17004358451877616,11.316803848767824
Architecture and Engineering,1300,32820,47,7148.6,8022.766577236306,6026.085427981078,10681.02739698201,0.12228500367013202,11.363018029672649
Architecture and Engineering,1300,32900,6,748.6,966.6502052822848,726.0733139780747,1286.9397640477116,0.2912773247158493,11.50172619796198
Architecture and Engineering,1300,33100,12,38346.2,44759.593338836385,33619.96520587243,59590.222166799475,0.16724977543632455,11.325381765707178
Architecture and Engineering,1300,33140,18,1282.2,1434.2383039751505,1077.2895435297903,1909.458348448764,0.118576122270434,11.2337109509373
Architecture and Engineering,1300,33260,48,3885.6,4208.9959744426815,3161.4741702677593,5603.603306167223,0.0832293531096051,11.850900521227436
Architecture and Engineering,1300,33340,55,21313.6,22358.496315079807,16793.983414420178,29766.75307671171,0.049024862767425875,11.338524011757366
Architecture and Engineering,1300,33460,27,55075.8,58079.03994021771,43624.50943642458,77322.9297923279,0.05452921138172683,11.410538464684002
Architecture and Engineering,1300,33660,1,3246.0,3636.1316757231357,2731.18255334356,4840.92634050083,0.12018843984076885,11.406236073319874
Architecture and Engineering,1300,33700,6,3342.2,3876.4008046736167,2911.6542500859787,5160.806163036204,0.1598350800890482,11.37700328751515
Architecture and Engineering,1300,33740,22,896.0,1052.728294218045,790.728556332506,1401.5389384536338,0.17491997122549666,11.434566010738168
