occ_group,met2013,period,total_emp,emp_20_29,emp_30_54,emp_55_plus,mean_wage,share_foreign_born,share_college,n_obs,share_20_29,share_30_54,share_55_plus,log_emp,log_wage,occ_group_code,dominant_statefip
Legal,45780,P1,2151.3999999999996,293.2,1254.4,603.8,91191.89149560116,0.01533884912150228,0.8470763223947199,124.0,0.13628335037649905,0.5830621920609836,0.28065445756251745,7.673874071997905,11.42072126307032,2100,39
Legal,45780,P2,2377.0,77.2,1494.6,805.1999999999999,111578.99504898347,0.020025241901556586,0.811779554059739,119.0,0.03247791333613799,0.6287757677745056,0.3387463188893563,7.773594467360194,11.622488094807458,2100,39
Legal,45780,P3,2319.6,180.2,1569.8000000000002,569.6,104413.96054628227,0.056389032591826184,0.7866011381272634,107.0,0.07768580789791343,0.6767546128642871,0.24555957923779964,7.749150036002286,11.55611866719841,2100,39
Legal,45820,P1,632.3999999999999,73.4,382.80000000000007,176.20000000000002,59175.73846664455,0.05850727387729286,0.761227071473751,30.0,0.11606578115117018,0.6053130929791274,0.2786211258697028,6.4495221053353164,10.988266913673048,2100,20
Legal,45820,P2,1272.0,204.0,832.6,235.39999999999998,78760.37595384328,0.05047169811320755,0.9034591194968554,51.0,0.16037735849056603,0.654559748427673,0.185062893081761,7.148345743900068,11.274165306152579,2100,20
Legal,45820,P3,1055.2,126.8,708.8000000000002,219.6,91424.2424242424,0.039423805913570885,0.9482562547384382,42.0,0.12016679302501894,0.6717210007581502,0.2081122062168309,6.961485601403105,11.423265956674717,2100,20
Legal,45940,P1,2440.3999999999996,275.6,1510.8000000000002,654.0,128008.55449156406,0.08178987051303065,0.9059990165546631,111.0,0.11293230617931489,0.6190788395345027,0.26798885428618263,7.799917239277697,11.759852372633942,2100,34
Legal,45940,P2,2623.2,301.0,1709.6000000000001,612.6,134725.2286834368,0.12221713937175968,0.896081122293382,119.0,0.11474534919182679,0.651723086306801,0.23353156450137239,7.872150225530438,11.810992640209326,2100,34
Legal,45940,P3,2386.6,220.39999999999998,1766.2,400.0,156461.75987552945,0.17170870694712143,0.8572865163831392,131.0,0.0923489482946451,0.7400486047096289,0.16760244699572616,7.777625037935556,11.960566913261774,2100,34
Legal,46060,P1,3889.4,476.8,2429.0,983.6000000000001,72185.39025367922,0.08736566051318968,0.7123463773332649,215.0,0.12258960250938448,0.6245179205018769,0.2528924769887387,8.266010183070781,11.186992953348106,2100,4
Legal,46060,P2,3139.4000000000005,388.6,1987.0,763.8,78478.15313790536,0.09186468751990824,0.6568134038351277,180.0,0.12378161432120786,0.6329234885646938,0.24329489711409819,8.051786977841108,11.270575561061033,2100,4
Legal,46060,P3,3623.6000000000004,498.0,2481.8,643.8,88646.3430382719,0.08174191411855612,0.7265150678882879,197.0,0.13743238768075947,0.6848989954741141,0.17766861684512636,8.195223285795134,11.39241005896814,2100,4
Legal,46140,P3,2059.4,413.4,1256.6,389.4,91547.99372118119,0.036709721278042146,0.6671846168787023,90.0,0.2007380790521511,0.6101777216665047,0.18908419928134407,7.630169957222651,11.424618635293236,2100,40
