met2013,state_abbr,metro_name,lat,lon,metro_name_short
37340,FL,"Palm Bay-Melbourne-Titusville, FL Metro Area",28.298311,-80.700333,Palm Bay-Melbourne-Titusville
37620,WV,"Parkersburg-Vienna, WV Metro Area",39.141531,-81.460402,Parkersburg-Vienna
37860,FL,"Pensacola-Ferry Pass-Brent, FL Metro Area",30.608557,-87.158547,Pensacola-Ferry Pass-Brent
37980,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",39.894958,-75.311982,Philadelphia-Camden-Wilmington
38060,AZ,"Phoenix-Mesa-Chandler, AZ Metro Area",33.185765,-112.067862,Phoenix-Mesa-Chandler
38300,PA,"Pittsburgh, PA Metro Area",40.471332,-79.863986,Pittsburgh
38340,MA,"Pittsfield, MA Metro Area",42.371493,-73.217928,Pittsfield
38860,ME,"Portland-South Portland, ME Metro Area",43.651417,-70.418375,Portland-South Portland
38900,OR,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",45.600622,-122.484378,Portland-Vancouver-Hillsboro
38940,FL,"Port St. Lucie, FL Metro Area",27.228046,-80.425388,Port St. Lucie
39140,AZ,"Prescott Valley-Prescott, AZ Metro Area",34.631071,-112.577225,Prescott Valley-Prescott
39300,RI,"Providence-Warwick, RI-MA Metro Area",41.70684,-71.286687,Providence-Warwick
39340,UT,"Provo-Orem-Lehi, UT Metro Area",39.872067,-112.359059,Provo-Orem-Lehi
39380,CO,"Pueblo, CO Metro Area",38.162765,-104.484668,Pueblo
39460,FL,"Punta Gorda, FL Metro Area",26.906396,-82.003657,Punta Gorda
39540,WI,"Racine-Mount Pleasant, WI Metro Area",42.780392,-87.771599,Racine-Mount Pleasant
39580,NC,"Raleigh-Cary, NC Metro Area",35.756746,-78.460441,Raleigh-Cary
39740,PA,"Reading, PA Metro Area",40.413957,-75.92686,Reading
39820,CA,"Redding, CA Metro Area",40.760514,-122.043556,Redding
39900,NV,"Reno, NV Metro Area",40.251057,-119.555507,Reno
40060,VA,"Richmond, VA Metro Area",37.411324,-77.441816,Richmond
40140,CA,"Riverside-San Bernardino-Ontario, CA Metro Area",34.538476,-116.134541,Riverside-San Bernardino-Ontario
40220,VA,"Roanoke, VA Metro Area",37.286226,-79.946935,Roanoke
40380,NY,"Rochester, NY Metro Area",43.184718,-77.556558,Rochester
40420,IL,"Rockford, IL Metro Area",42.331183,-89.042914,Rockford
40580,NC,"Rocky Mount, NC Metro Area",35.941045,-77.798549,Rocky Mount
40900,CA,"Sacramento-Roseville-Folsom, CA Metro Area",38.790272,-121.005643,Sacramento-Roseville-Folsom
40980,MI,"Saginaw, MI Metro Area",43.328267,-84.05541,Saginaw
41100,UT,"St. George, UT Metro Area",37.262531,-113.4878,St. George
41140,MO,"St. Joseph, MO-KS Metro Area",39.834843,-94.783754,St. Joseph
41180,MO,"St. Louis, MO-IL Metro Area",38.740211,-90.345825,St. Louis
41500,CA,"Salinas, CA Metro Area",36.240104,-121.315578,Salinas
41540,DE,"Salisbury, MD Metro Area",38.197279,-75.769252,Salisbury
41620,UT,"Salt Lake City-Murray, UT Metro Area",40.572887,-112.953253,Salt Lake City-Murray
41660,TX,"San Angelo, TX Metro Area",31.36531,-100.659418,San Angelo
41700,TX,"San Antonio-New Braunfels, TX Metro Area",29.43306,-98.606973,San Antonio-New Braunfels
41740,CA,"San Diego-Chula Vista-Carlsbad, CA Metro Area",33.023604,-116.776117,San Diego-Chula Vista-Carlsbad
41860,CA,"San Francisco-Oakland-Fremont, CA Metro Area",37.773718,-122.274432,San Francisco-Oakland-Fremont
41940,CA,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",36.908472,-121.371372,San Jose-Sunnyvale-Santa Clara
42020,CA,"San Luis Obispo-Paso Robles, CA Metro Area",35.388189,-120.448897,San Luis Obispo-Paso Robles
42100,CA,"Santa Cruz-Watsonville, CA Metro Area",37.012347,-122.007789,Santa Cruz-Watsonville
42140,NM,"Santa Fe, NM Metro Area",35.514531,-105.963972,Santa Fe
42200,CA,"Santa Maria-Santa Barbara, CA Metro Area",34.536677,-120.038364,Santa Maria-Santa Barbara
42220,CA,"Santa Rosa-Petaluma, CA Metro Area",38.525182,-122.92611,Santa Rosa-Petaluma
42540,PA,"Scranton--Wilkes-Barre, PA Metro Area",41.322881,-75.898188,Scranton--Wilkes-Barre
