met2013,soc_code,soc_title,occ_group,occ_group_code,demand_scenario,shortage_2pct,shortage_5pct,shortage_10pct,shortage_15pct,shortage_20pct
10740,47-2,Construction Laborers,Construction and Extraction,6200,low,2403.61,1892.31,1101.85,379.84,0.00
10740,47-4,Construction and Building Inspectors,Construction and Extraction,6200,low,168.49,132.65,77.24,26.63,0.00
10740,49-1,"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair",7000,low,147.14,93.26,11.39,0.00,0.00
10740,49-2,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Installation, Maintenance, and Repair",7000,low,132.52,84.00,10.26,0.00,0.00
10740,49-3,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",7000,low,517.20,327.83,40.05,0.00,0.00
10740,49-9,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",7000,low,716.72,454.29,55.50,0.00,0.00
10900,21-1,Social and Human Service Assistants,Community and Social Service,2000,low,1167.85,814.87,286.74,0.00,0.00
10900,25-1,"Postsecondary Teachers, All Other","Education, Training, and Library",2200,low,736.45,612.04,420.38,246.06,86.86
10900,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,2796.73,2324.25,1596.41,934.43,329.87
10900,25-3,Self-Enrichment Teachers,"Education, Training, and Library",2200,low,370.89,308.23,211.71,123.92,43.75
10900,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,890.42,739.99,508.26,297.50,105.02
10900,29-1,Registered Nurses,Healthcare Practitioners and Technical,3000,low,2969.74,30.83,0.00,0.00,0.00
10900,29-2,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical,3000,low,1464.11,15.20,0.00,0.00,0.00
10900,31-1,Home Health and Personal Care Aides,Healthcare Support,3600,low,1596.30,1364.39,1005.96,678.68,378.64
10900,31-9,Medical Assistants,Healthcare Support,3600,low,410.37,350.75,258.61,174.47,97.34
10900,49-1,"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair",7000,low,173.90,120.67,39.79,0.00,0.00
10900,49-3,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",7000,low,512.26,355.46,117.22,0.00,0.00
10900,49-9,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",7000,low,1086.22,753.73,248.55,0.00,0.00
10900,51-1,First-Line Supervisors of Production and Operating Workers,Production,7700,low,600.76,549.91,470.91,398.32,331.39
10900,51-2,Miscellaneous Assemblers and Fabricators,Production,7700,low,1534.64,1404.72,1202.92,1017.51,846.54
10900,51-3,Bakers,Production,7700,low,509.28,466.17,399.20,337.67,280.93
10900,51-4,"Welders, Cutters, Solderers, and Brazers",Production,7700,low,1430.83,1309.70,1121.55,948.68,789.27
10900,51-9,"Inspectors, Testers, Sorters, Samplers, and Weighers",Production,7700,low,2691.17,2463.36,2109.46,1784.33,1484.51
10900,53-1,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",Transportation and Material Moving,9000,low,593.83,550.24,482.60,420.53,363.36
10900,53-3,Heavy and Tractor-Trailer Truck Drivers,Transportation and Material Moving,9000,low,3342.62,3097.28,2716.54,2367.15,2045.33
10900,53-7,"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving,9000,low,8599.05,7967.92,6988.44,6089.62,5261.72
11100,21-1,Social and Human Service Assistants,Community and Social Service,2000,low,426.23,317.68,155.25,12.63,0.00
11100,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,1536.04,1371.02,1116.80,885.59,674.43
11100,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,522.19,466.09,379.67,301.07,229.28
11100,29-1,Registered Nurses,Healthcare Practitioners and Technical,3000,low,1392.12,525.92,0.00,0.00,0.00
11100,29-2,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical,3000,low,915.76,345.96,0.00,0.00,0.00
11100,33-3,Police and Sheriff's Patrol Officers,Protective Service,3700,low,578.88,532.24,459.78,393.18,331.75
11100,35-2,"Cooks, Restaurant",Food Preparation and Serving,4000,low,152.68,104.99,31.46,0.00,0.00
11100,35-3,Fast Food and Counter Workers,Food Preparation and Serving,4000,low,376.53,258.92,77.58,0.00,0.00
11100,37-2,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Building and Grounds Cleaning and Maintenance,4200,low,17.82,0.00,0.00,0.00,0.00
11100,41-1,First-Line Supervisors of Retail Sales Workers,Sales and Related,4700,low,12.65,0.00,0.00,0.00,0.00
11100,41-2,Retail Salespersons,Sales and Related,4700,low,72.27,0.00,0.00,0.00,0.00
11100,41-3,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Sales and Related,4700,low,16.51,0.00,0.00,0.00,0.00
11100,47-1,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction,6200,low,163.96,129.42,76.02,27.24,0.00
11100,47-2,Construction Laborers,Construction and Extraction,6200,low,829.80,654.97,384.70,137.86,0.00
11100,49-3,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",7000,low,57.28,0.00,0.00,0.00,0.00
11100,49-9,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",7000,low,96.44,0.00,0.00,0.00,0.00
