met2013,occ_group,occ_group_code,demand_scenario,shortage_2pct,shortage_5pct,shortage_10pct,shortage_15pct,shortage_20pct
45940,"Education, Training, and Library",2200,low,2780.587642385779,2309.569799269282,1584.029926193376,924.2112438557416,321.66975790634933
45940,"Education, Training, and Library",2200,mid,2936.635679916657,2460.744212025942,1727.6991430078542,1061.0573231534745,452.2869906712913
45940,"Installation, Maintenance, and Repair",7000,high,305.14090102230193,125.62395376031964,0.0,0.0,0.0
45940,"Installation, Maintenance, and Repair",7000,low,243.30177538798716,66.37334422283448,0.0,0.0,0.0
45940,"Installation, Maintenance, and Repair",7000,mid,275.9182968068603,97.624574818959,0.0,0.0,0.0
45940,"Life, Physical, and Social Science",1600,high,2053.161016964764,1990.5937467263016,1892.055766743238,1800.0109960603104,1713.776042843659
45940,"Life, Physical, and Social Science",1600,low,1915.3678142711333,1854.7832834126607,1759.3678004369822,1670.2396049519157,1586.7369870289904
45940,"Life, Physical, and Social Science",1600,mid,1988.0456683146888,1926.4153584159708,1829.3529409230744,1738.686422629672,1653.7426576705109
45940,Office and Administrative Support,5000,low,102.51446916161149,0.0,0.0,0.0,0.0
45940,Personal Care and Service,4300,high,392.13336714319394,0.0,0.0,0.0,0.0
45940,Personal Care and Service,4300,low,158.9439192445543,0.0,0.0,0.0,0.0
45940,Personal Care and Service,4300,mid,281.93771231688424,0.0,0.0,0.0,0.0
45940,Production,7700,high,477.52174922163886,319.97526125514014,75.24477115108493,0.0,0.0
45940,Production,7700,low,442.5520698261616,285.87650413882875,42.4985866758434,0.0,0.0
45940,Production,7700,mid,460.9965301142738,303.8616038703167,59.77028345951203,0.0,0.0
45940,Protective Service,3700,high,547.3819448147187,456.99067676505047,316.5392370303025,187.46178601215524,68.40011994047973
45940,Protective Service,3700,low,554.9455729365864,464.3670874801492,323.62483342157975,194.28021588787303,74.97220029365553
45940,Protective Service,3700,mid,550.9562015457268,460.4764623198557,319.8875958055719,190.68389298059992,71.50581234901438
45940,Transportation and Material Moving,9000,high,4589.877857308478,4284.108794614162,3809.618620097216,3374.2407905858727,2973.252754070304
45940,Transportation and Material Moving,9000,low,4082.9055640976385,3790.1420030159,3335.8296947616336,2918.9620789184883,2535.018317470315
45940,Transportation and Material Moving,9000,mid,4350.303792818888,4050.6805904088023,3585.7256380292683,3159.0949672531187,2766.1613477320434
46060,Architecture and Engineering,1300,high,3998.051976345449,1518.876329006653,0.0,0.0,0.0
46060,Architecture and Engineering,1300,low,3245.2372095706833,898.3494276306701,0.0,0.0,0.0
46060,Architecture and Engineering,1300,mid,3642.302962248912,1225.641069647123,0.0,0.0,0.0
46060,"Arts, Design, Entertainment, Sports, Media",2600,high,1929.0174269456556,1711.8021686320526,1372.7578718825598,1059.4616344830065,768.9610020325745
46060,"Arts, Design, Entertainment, Sports, Media",2600,low,1430.9776775852415,1224.3691820649683,901.8767992672938,603.8711898254096,327.5448331665357
46060,"Arts, Design, Entertainment, Sports, Media",2600,mid,1693.6645119451669,1481.4615695066232,1150.2390203232617,844.1684990771828,560.3660410793891
46060,Building and Grounds Cleaning and Maintenance,4200,high,2489.7155830426564,0.0,0.0,0.0,0.0
46060,Building and Grounds Cleaning and Maintenance,4200,low,1721.324396119324,0.0,0.0,0.0,0.0
46060,Building and Grounds Cleaning and Maintenance,4200,mid,2126.6057992646747,0.0,0.0,0.0,0.0
46060,Business and Financial Operations,500,high,493.6764812886104,149.32461590524326,0.0,0.0,0.0
46060,Community and Social Service,2000,high,3345.7327736565903,2800.018259449178,1983.569543010526,1266.80929093129,633.9668066303657
46060,Community and Social Service,2000,low,2551.740224981223,2048.0220777944796,1294.377236511401,632.7219013033991,48.5053046047351
46060,Community and Social Service,2000,mid,2970.52484886868,2444.6560747059902,1657.8858630657433,967.165907635841,357.30199965613156
46060,Computer and Mathematical,1000,high,1878.5438380343185,1255.4250532178012,299.6917296137144,0.0,0.0
46060,Computer and Mathematical,1000,low,351.60834956969484,0.0,0.0,0.0,0.0
46060,Computer and Mathematical,1000,mid,1156.9774998266876,558.8259903709477,0.0,0.0,0.0
46060,Construction and Extraction,6200,high,3471.1352009997863,2728.6541982441995,1580.7971591535425,532.3324462190176,0.0
46060,Construction and Extraction,6200,low,2318.4541360376934,1609.0502110446978,512.3037949135032,0.0,0.0
